vehicleId: 1; start (520;100); startTime: 36263; now (250;100); timecount: 36538; boxId: B167, B166, ;PL
vehicleId: 0; start (520;100); startTime: 36292; now (10;100); timecount: 36807; boxId: B165, ;PL
vehicleId: 1; start (250;100); startTime: 36539; now (560;100); timecount: 36854; boxId: B183, B182, ;PU
vehicleId: 1; start (560;100); startTime: 36854; now (520;100); timecount: 36899; boxId: B183, B182, ;PL
vehicleId: 0; start (10;100); startTime: 36807; now (560;100); timecount: 37362; boxId: B181, B180, ;PU
vehicleId: 1; start (520;100); startTime: 36900; now (1010;100); timecount: 37395; boxId: B363, B362, ;PU
vehicleId: 1; start (1010;100); startTime: 37395; now (570;100); timecount: 37840; boxId: B363, B362, ;PL
vehicleId: 0; start (560;100); startTime: 37362; now (0;100); timecount: 37927; boxId: B181, B180, ;PL
vehicleId: 1; start (570;100); startTime: 37840; now (1010;100); timecount: 38285; boxId: B361, ;PU
vehicleId: 1; start (1010;100); startTime: 38285; now (570;100); timecount: 38730; boxId: B361, ;PL
vehicleId: 1; start (570;100); startTime: 38730; now (580;100); timecount: 38745; boxId: B191, ;PU
vehicleId: 0; start (0;100); startTime: 37927; now (1010;100); timecount: 38942; boxId: B360, ;PU
vehicleId: 1; start (580;100); startTime: 38745; now (0;100); timecount: 39330; boxId: B191, ;PL
vehicleId: 0; start (1010;100); startTime: 38942; now (0;100); timecount: 39957; boxId: B360, ;PL
vehicleId: 1; start (0;100); startTime: 39331; now (1090;100); timecount: 40426; boxId: B393, ;PU
vehicleId: 1; start (1090;100); startTime: 40426; now (560;100); timecount: 40961; boxId: B393, ;PL
vehicleId: 0; start (0;100); startTime: 39957; now (1090;100); timecount: 41052; boxId: B392, ;PU
vehicleId: 1; start (560;100); startTime: 40961; now (260;100); timecount: 41266; boxId: B63, ;PU
vehicleId: 1; start (260;100); startTime: 41266; now (10;100); timecount: 41521; boxId: B63, ;PL
vehicleId: 1; start (10;100); startTime: 41522; now (220;100); timecount: 41737; boxId: B47, B46, ;PU
vehicleId: 0; start (1090;100); startTime: 41052; now (0;100); timecount: 42147; boxId: B392, ;PL
vehicleId: 0; start (0;100); startTime: 42147; now (220;100); timecount: 42372; boxId: B45, ;PU
vehicleId: 1; start (220;100); startTime: 41737; now (1010;100); timecount: 42532; boxId: B47, B46, ;PL
